300.0,0.2460069,919.87,37.89,27.77
325.0,0.2306996,1050.0,42.67,31.48
350.0,0.21809325,1190.0,47.51,35.39
375.0,0.2071877,1340.0,52.39,39.5
400.0,0.1975828,1500.0,57.32,43.79
450.0,0.18107454,1830.0,75.15,52.93
500.0,0.16756784000000002,2200.0,91.89,62.77
550.0,0.15616229999999998,2590.0,108.18,73.29
600.0,0.14645763,3000.0,124.28,84.46
650.0,0.13805364,3450.0,140.34,96.27
700.0,0.13075019000000002,3920.0,156.44,108.69
800.0,0.11864452,4930.0,214.35,135.3
900.0,0.10904004,6050.0,267.97,164.15
1000.0,0.10113641999999999,7250.0,319.8,195.11
